date,name_1,name_2,asset_class,Sector,currency,shares,price,amount,event
31/07/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,105424.8023,Valuation Update
31/07/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,221141.6547,Valuation Update
31/07/2022,VC Company,,PE / VC,PE / VC,CAD,,,122825.3804,Valuation Update
31/07/2022,PE Company,,PE / VC,PE / VC,JPY,,,752681.6553,Valuation Update
31/07/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,463586.3764,Valuation Update
31/07/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,991.0540679,99105.40679,Valuation Update
31/07/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,300,977.2802522,293184.0757,Valuation Update
31/07/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,879.9413685,87994.13685,Valuation Update
31/08/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,105424.8023,Valuation Update
31/08/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,221141.6547,Valuation Update
31/08/2022,VC Company,,PE / VC,PE / VC,CAD,,,122825.3804,Valuation Update
31/08/2022,PE Company,,PE / VC,PE / VC,JPY,,,752681.6553,Valuation Update
31/08/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,463586.3764,Valuation Update
31/08/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1016.466078,101646.6078,Valuation Update
31/08/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,300,1123.028501,336908.5502,Valuation Update
31/08/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,886.1576874,88615.76874,Valuation Update
30/09/2022,Real Estate Company,,Real Estate,Real Estate,USD,,,105424.8023,Valuation Update
30/09/2022,Predios LTDA,,Real Estate,Real Estate,BRL,,,221141.6547,Valuation Update
30/09/2022,VC Company,,PE / VC,PE / VC,CAD,,,122825.3804,Valuation Update
30/09/2022,PE Company,,PE / VC,PE / VC,JPY,,,752681.6553,Valuation Update
30/09/2022,Private Equity Investments,,PE / VC,PE / VC,EUR,,,463586.3764,Valuation Update
30/09/2022,Investment Fund,,Liquid Funds,Liquid Funds,USD,100,1146.344009,114634.4009,Valuation Update
30/09/2022,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,300,1201.182218,360354.6653,Valuation Update
30/09/2022,Indian Fund,,Liquid Funds,Liquid Funds,INR,100,1004.506408,100450.6408,Valuation Update
